question,document
Why is it important to learn the basic pieces before switching to LangChain or another framework?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an Insufficient credits message?,f5df151c59
How can I fix the OpenAI API error I see on responses.create because of not enough credits?,f5df151c59
Is the responses.create command failing due to low OpenAI account credits?,f5df151c59
"Why am I seeing ""OpenAI API Error: Insufficient credits"" when using responses.create?",f5df151c59
Why am I getting OpenAI 429 RateLimitError even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing first?",152af39a53
What should I do to fix the insufficient_quota error in my RAG notebook?,152af39a53
Do I need to change the model name in responses.create if my account has limited access?,152af39a53
"After adding funds to my OpenAI account, do I have to create a new API key?",152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to spend a lot of money to use the OpenAI API in the RAG module?,554d0eb78b
What is the minimum amount I can add to my OpenAI account for the course?,554d0eb78b
"Will I be charged a lot when I start using the OpenAI API, or is it usually very cheap?",554d0eb78b
How much should I expect to pay for initial OpenAI API usage in this course?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the course homework, or are there free options?",85384a18e5
Can I complete the llm-zoomcamp assignments without subscribing to OpenAI?,85384a18e5
Where can I find cheaper or free alternatives to the OpenAI API for this course?,85384a18e5
"Is using OpenAI API required for the Module 1 RAG homework, or can I use another service?",85384a18e5
Does the course GitHub repo have a list of OpenAI API alternatives I can use instead?,85384a18e5
Why does the course recommend uv over pip and virtualenv for the setup?,f81dea8f7e
"What makes uv better or easier than using separate Python tools like pip, virtualenv, and pyenv?",f81dea8f7e
"Do I have to use uv in the course, or can I still set things up with pip and virtualenv?",f81dea8f7e
"How does uv help with managing Python versions, environments, and dependencies in one place?",f81dea8f7e
"Is uv just a package installer, or does it replace other tools like poetry, pip-tools, and twine too?",f81dea8f7e
Why does my notebook keep saying OPENAI_API_KEY is missing even though I added it to .env?,86d99bbf21
Do I need python-dotenv for the API key to show up in Jupyter?,86d99bbf21
What's the right way to load my .env file before creating the OpenAI client?,86d99bbf21
I set the key in .env but Jupyter still can't find it — what am I missing?,86d99bbf21
"Is the env variable name supposed to be OPENAI_API_KEY exactly, or can it be something else?",86d99bbf21
How do I keep my OpenAI or Groq API key in a .env file and read it in Python?,233dabe430
What’s the easiest way to load env vars like OPENAI_API_KEY with python-dotenv?,233dabe430
Should I add .env to .gitignore before storing API keys there?,233dabe430
"How do I set up a .env file for OPENAI_API_KEY, GROQ_API_KEY, and GEMINI_API_KEY?",233dabe430
Do I need to install anything special to use load_dotenv and get keys from .env?,233dabe430
"Can I solve the homework with a different LLM provider instead of the one suggested, or is it required to use the recommended model?",ee43413718
"Is it okay to use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model for the assignment?",ee43413718
"Does the homework assume I need a paid API, or can I do it without paying for a service?",ee43413718
"If I switch to another provider, what parts of the code usually need changes, like output format, tool schema, or tokenizer handling?",ee43413718
Where can I find a list of OpenAI API alternatives that work for this course?,ee43413718
How can I plug Google Gemini into the Module 1 notebook using the OpenAI-style API endpoint?,0ae5c221b9
What do I need in my .env file and client setup before calling a Gemini model from the course notebook?,0ae5c221b9
Is there a simple llm helper example for using Gemini through OpenAI-compatible chat completions?,0ae5c221b9
Why does the notebook code need changes when switching from the Responses API to Gemini chat completions?,0ae5c221b9
Which parts of the Module 1 notebook usually break or need updates when I use Gemini instead of the default model?,0ae5c221b9
How do I get a Pydantic object back from Gemini if the Responses API parse method isn’t there?,341f71f28c
What’s the easiest way to make Gemini return structured data through the OpenAI-compatible endpoint?,341f71f28c
Can I use `chat.completions.parse` with Gemini instead of the newer Responses API?,341f71f28c
How do I define the schema so Gemini gives me a list of FAQ questions and answers?,341f71f28c
"Why am I supposed to use chat completions parsing, and not manual JSON parsing, with Gemini on the OpenAI SDK?",341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what do I type to start the local model and try it out?",1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from a script?,1d0b969028
Can you show a super simple Python example for chatting with llama3 through Ollama?,1d0b969028
Why do I get a connection refused error when I prompt my Ollama RAG in the homework?,c6fc2d4d11
How can I fix the connection refused issue with Ollama during the RAG assignment?,c6fc2d4d11
Do I need to restart the Ollama server if the notebook cell was stopped or rerun?,c6fc2d4d11
What command should I use to bring Ollama back up after the server dies in the notebook?,c6fc2d4d11
Is there a way to avoid the Ollama connection refused problem when working on Module 1 RAG?,c6fc2d4d11
Why can `tiktoken.encode()` give me a lower token count than the number OpenAI shows in the API response?,bf0403d21b
What extra tokens does OpenAI add in chat completions that I don’t see in my prompt text?,bf0403d21b
"If my prompt looks like 320 tokens in `tiktoken`, why might OpenAI report something like 327 instead?",bf0403d21b
"Do things like newlines, spaces, or weird Unicode characters affect the token count in OpenAI chat requests?",bf0403d21b
How does the chat message format in `chat.completions.create()` change the final token usage count?,bf0403d21b
"How can I make my API key load automatically when I enter a project folder, without typing export every time?",8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc and is okay across different shells?,8b2f5e9d04
What should I put in my shell config so the environment file gets loaded when I open a terminal?,8b2f5e9d04
"If I’m working in GitHub Codespaces, what’s the right way to store the key instead of putting it in the repo?",8b2f5e9d04
"For a Python script, how do I read variables from a .env file in the project root?",8b2f5e9d04
How do I decide what weights to give different fields in minsearch or a similar search engine?,87d4ea4e08
"Is there a reliable way to tune field weights, or is it just trial and error?",87d4ea4e08
What’s the best method to compare different weight settings for search fields?,87d4ea4e08
Should I build a test set before adjusting search field weights?,87d4ea4e08
Which metrics should I look at when checking whether my field weights are working well?,87d4ea4e08
What’s the best way to clean documents before using them in a RAG pipeline?,649c280e6d
"When preparing data for retrieval, what kind of junk or noise should I strip out first?",649c280e6d
"Should I keep things like titles, section headings, page numbers, and speaker names in my RAG docs, or remove them?",649c280e6d
"Do RAG documents need to be stored as JSON, or can I use some other format?",649c280e6d
How do I chunk documents for RAG so that retrieval stays accurate and context doesn’t get lost?,649c280e6d
"Why does uv show a ""Failed to hardlink files"" warning in GitHub Codespaces, and should I worry about it?",acf8fa5356
"If uv can’t hardlink in Codespaces, does the install still work or does it break the package setup?",acf8fa5356
How can I stop the hardlink warning from appearing every time I use uv in my current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode in Codespaces instead of hardlinks?,acf8fa5356
Is there an official place to read more about uv link mode and this warning?,acf8fa5356
What package do I need if my terminal says dotenv is not recognized?,0bed1f48da
How do I install dotenv support in a Python project with uv?,0bed1f48da
"After installing python-dotenv, how do I load environment variables in my script?",0bed1f48da
Is there a specific library for using load_dotenv in Python?,0bed1f48da
What is the recommended way to fix a 'dotenv is not recognized' error?,0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,aa310de435
"Is Codespaces required, or is it just the easiest option to get started?",aa310de435
What do I need installed if I want to follow the module locally?,aa310de435
Can I skip Codespaces and use my own Python setup for this course?,aa310de435
"If I run everything on my machine, do I need to keep my setup documented and reproducible?",aa310de435
"If I leave my code only in Codespaces and never commit it, is it still safe there?",610ccb23c0
Where exactly does my work go when I save it in GitHub Codespaces before pushing anything?,610ccb23c0
Do I need to commit often in Codespaces even if the files are already saved in the VM?,610ccb23c0
What happens to my changes if the Codespaces container stops or gets deleted later?,610ccb23c0
"Is code in Codespaces automatically backed up to my GitHub repo, or do I have to commit it myself?",610ccb23c0
Why does WSL2 say the model needs more memory than is available even though my PC has enough RAM?,f3dd94f323
How do I give WSL2 more RAM so I can run this model?,f3dd94f323
Where should I put the .wslconfig file to change WSL2 memory limits?,f3dd94f323
What exact setting do I need in .wslconfig to allocate 8GB to WSL2?,f3dd94f323
"After changing the WSL2 memory limit, how can I check that the new RAM setting actually took effect?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never opens. What usually helps fix that?",830f3d2018
"If my Codespace won’t reconnect, should I try stopping it, reopening it in the browser, or making a new one?",830f3d2018
Why does it look like all my setup disappeared after a rebuild or after creating a fresh Codespace?,830f3d2018
"Do files in `/workspaces` stay there when I stop and restart a Codespace, and what gets lost if I delete it?",830f3d2018
Codespaces keep acting flaky for me — is there an easy workaround or should I just run the course locally?,830f3d2018
"Can I skip OpenAI and use another LLM provider for the RAG homework, or is the course locked to OpenAI only?",c6ff9083c0
"If the provider from the course is blocked in my country, what are the easiest alternatives I can plug into the same code?",c6ff9083c0
"Do I need to rewrite the course code if I want to use Groq, OpenRouter, DeepSeek, Gemini, Mistral, or another OpenAI-style API?",c6ff9083c0
"Is it possible to run a model locally with Ollama, vLLM, or LM Studio and still follow the course exercises without an external API?",c6ff9083c0
Where can I find a list of good LLM providers and local model tools that work with this course setup?,c6ff9083c0
"Why am I getting 429 rate limit errors in the RAG notebooks, and what should I do first to avoid them?",8e21752415
How can I set up the OpenAI client so temporary rate-limit errors retry instead of stopping my run?,8e21752415
What’s the best way to keep my notebook from making too many API calls when it loops over lots of docs?,8e21752415
"Should I use fewer workers in my thread pool for embeddings, and what number is safe?",8e21752415
Is there a cheap/free option I can use for the course so I don’t hit OpenAI limits so fast?,8e21752415
"What exactly are tools or functions in agentic RAG, and why do we need them?",c296ea5a21
How is a tool call different from the normal RAG retrieval step?,c296ea5a21
Can a model decide on its own when to use a function in agentic RAG?,c296ea5a21
What are some real examples of tools a RAG system might call?,c296ea5a21
Should I care a lot about the difference between the words tool and function in this course?,c296ea5a21
Which free models can I use if I need tool calling support?,0d74a3616f
Does Groq have any free models that work with tools or function calling?,0d74a3616f
"What are some examples of free models with tool use, like Deepseek R1 or Llama 4?",0d74a3616f
"Besides Groq, which providers support tool or function calling too?",0d74a3616f
Do I need to change my code when I switch from OpenAI to another model provider for tools?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with a model that isn't from OpenAI?,9e7b3f0c25
"If I’m using Mistral or Groq instead of OpenAI, what should I use to read the assistant reply instead of `response.output`?",9e7b3f0c25
Can I still use the old `chat.completions` style for the homework if the new Responses API doesn’t work with my provider?,9e7b3f0c25
What needs to change in the code when switching from OpenAI Responses API to a non-OpenAI provider?,9e7b3f0c25
Do the tools definitions also have to be updated when I move from `responses.create` to `chat.completions.create`?,9e7b3f0c25
"Why am I getting Error code 400 with Azure OpenAI saying ""Missing required parameter: tools[0].function"" when I try to use a weather tool?",b9c7c6bb34
What should the JSON for my weather tool look like in Agentic RAG so Azure OpenAI accepts it?,b9c7c6bb34
How do I fix the tool definition if Azure says the first tool is missing the function field?,b9c7c6bb34
Can you show the correct `get_weather_tool` structure for a function tool with a city parameter?,b9c7c6bb34
I keep getting a bad request in Azure OpenAI for my weather tool setup — what exact change do I need to make?,b9c7c6bb34
"Why do I get a 404 with toyaikit on Groq, and what class should I use instead of the Responses runner?",0224d980b3
How can I run toyaikit with an OpenAI-compatible provider like Groq without hitting the OpenAI Responses endpoint?,0224d980b3
"Is there a different toyaikit runner/client combo for Anthropic, and how do I set it up?",0224d980b3
"Does `runner.loop(prompt=...)` work for one-off calls in toyaikit, or do I need the interactive `run()` method?",0224d980b3
What model names should I use for Anthropic or Groq in toyaikit so I don’t get a 404 from an old model id?,0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is the homework in the GitHub repo or only on the course platform?,53f15299b6
Can you point me to the 2026 Module 1 homework instructions link?,53f15299b6
What should I check first if I can't find the homework questions anywhere?,53f15299b6
Do the GitHub homework pages include anything useful besides the questions themselves?,53f15299b6
Why am I getting an empty list back when I filter my query for Homework Q3?,83da208a64
Could this be caused by how I indexed the data before running the filter?,83da208a64
Do I need to set up the index settings first before adding the documents?,83da208a64
"My query works but filtering returns nothing, what am I missing in the index setup?",83da208a64
Is the problem in the indexing step if my homework query keeps returning an empty list?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), and how do I stop it?",cfb07a27d5
Is there a specific max_output_tokens value I should set in my OpenAI client for the Module 1 homework?,cfb07a27d5
How do I fix the 402 issue in rag_helper.py when the llm() method calls responses.create()?,cfb07a27d5
"For ToyAIKit in Q6, where do I pass max_output_tokens so OpenRouter doesn’t reject the request?",cfb07a27d5
"If I’m still seeing this error, how can I check whether my OpenRouter key, base URL, or model name is the problem?",cfb07a27d5
"In the Module 1 homework, what does it actually mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
Should I build the search index from the split chunks or from the full documents in the homework?,b4300adeb1
"If I already have documents and chunks, which one should I pass to fit() for the RAG index?",b4300adeb1
Why does the homework say to use the chunked records for retrieval rather than the original records?,b4300adeb1
"When the RAG pipeline runs, does it send whole documents to the prompt or only the retrieved chunks?",b4300adeb1
"For the homework questions, do I need to get the exact same number as the multiple-choice options, or is the nearest option okay?",5e4ca64cb5
"If my numeric result is a little different from the listed answers, should I still pick the closest one?",5e4ca64cb5
What usually causes small mismatches between my homework answer and the available options?,5e4ca64cb5
When should I worry that my homework result is wrong instead of just a rounding or dataset difference?,5e4ca64cb5
Is there a guide for homework rules and how to choose an option when my answer is close but not exact?,5e4ca64cb5
Where do I check the Module 1 homework details if the platform instructions are confusing?,7d3a2e3505
"Is the course page enough for the homework, or should I also open the GitHub repo?",7d3a2e3505
"If the homework task looks different from the lesson, is that normal or did I miss something?",7d3a2e3505
What should I do when I still don't understand a homework question after reading the instructions?,7d3a2e3505
"When I ask for help in Slack, is it better to paste the command output or just upload a screenshot?",7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a different LLM provider instead of OpenAI?,fe8fed31e6
Where do I get the token count from when the model response includes usage info?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face models in this homework?",fe8fed31e6
What should I do if my provider doesn't give token usage in the response object?,fe8fed31e6
"For the multiple-choice questions, do I need the exact token count or just the closest answer option?",fe8fed31e6
"Why does the homework checker give a 500 or other non-200 error when I submit my repo link, and what should I change so it can access it?",bcdb8740ce
"Do I need to make my GitHub repository public for the submission to work, or is a private repo okay?",bcdb8740ce
I submitted a link that ends with .git — could that be the reason the checker rejects it?,bcdb8740ce
What’s the best way to test whether my repo URL is actually reachable before resubmitting the homework?,bcdb8740ce
"If my URL looks correct but the homework still fails with a non-200 response, what common mistakes should I double-check?",bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter?",69430a79a8
How do embeddings turn text or other non-numeric data into numbers without losing meaning?,69430a79a8
Why do similar inputs end up with similar embedding values?,69430a79a8
How does the closeness of embedding vectors help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How can I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" and sentence-transformers version?",aa3f597424
What should I install to suppress the model warning from sentence-transformers?,aa3f597424
"Is there a way to stop the ""was made on sentence transformers v3.0.0"" warning?",aa3f597424
Do I need to upgrade sentence-transformers to fix this warning message?,aa3f597424
What command should I run so the multi-qa-mpnet-base-dot-v1 warning disappears?,aa3f597424
"Why did the lesson use dot product directly for cosine similarity, but the homework says to normalize first?",92cd22cada
"Are the embeddings from `model.encode(...)` already unit vectors, so `.dot(...)` works as cosine similarity?",92cd22cada
"With TF-IDF plus SVD embeddings in the homework, why can't I just use dot product without normalization?",92cd22cada
What is the difference between using dot product and cosine similarity when vectors are not normalized?,92cd22cada
"In vector search, when is it okay to skip normalization and rely on `.dot(...)` alone?",92cd22cada
"In vector search for this project, should I index just the answer text, just the question, or both together?",5c4a8d2e60
What is the difference between embedding only the answer versus embedding only the question in the vector database?,5c4a8d2e60
"Does combining the question and answer into one embedding usually work better, or is it just more expensive?",5c4a8d2e60
"How do I decide which embedding setup gives the best results for my dataset: question, text, or question + text?",5c4a8d2e60
Should I test all three embedding options and choose the one with the highest hit rate or MRR?,5c4a8d2e60
What exactly does cosine similarity measure when comparing two vectors?,db78580409
How is cosine similarity used to tell whether two documents are related in text analysis?,db78580409
"What does the cosine similarity score mean if it is 1, 0, or -1?",db78580409
Why do people use cosine similarity with word counts or TF-IDF vectors?,db78580409
How does the angle between vectors connect to similarity in cosine similarity?,db78580409
Why does cosine similarity turn into a dot product after normalizing embeddings and the query vector?,95feb4e75b
How can we use matrix multiplication to compute cosine similarity between one query and many document embeddings?,95feb4e75b
"If vectors are unit length, why do their magnitudes stop affecting cosine similarity?",95feb4e75b
What makes cosine similarity efficient for vector search when embeddings are normalized?,95feb4e75b
Why is comparing a query to a whole embedding matrix just a matrix multiply instead of separate calculations?,95feb4e75b
"For Module 2, do I have to make a brand new GitHub repo, or can I reuse the same one and just start another codespace?",1e829a8c6f
Why does the course recommend opening a separate codespace for the vector search module instead of keeping everything in the same environment?,1e829a8c6f
"If I create a new codespace for Module 2, does it get created from my existing repository or from a fresh repository?",1e829a8c6f
What should I do with my Module 2 work if I might delete the codespace later — is committing it enough?,1e829a8c6f
"Is there any reason to keep the Module 2 dependencies inside my Module 1 codespace, or is it better to isolate them?",1e829a8c6f
Why does download.py get stuck at 0% when it tries to fetch model.onnx from HuggingFace?,29b69fbe0b
Is there a way to avoid the download hanging and just add the ONNX file manually?,29b69fbe0b
What should I do if the HuggingFace download is super slow or never starts?,29b69fbe0b
Can I open the model.onnx link in my browser and place it in the right folder myself?,29b69fbe0b
"If I already saved model.onnx locally, will download.py still try to download it again?",29b69fbe0b
"Why does the matrix-dot version and the Python loop version of vector search not match exactly, even though they should do the same thing?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return False when I compare vector search scores from `X.dot(v_query)` and a loop?",e889793af9
Do I need to worry if the two vector search implementations give slightly different numbers in the last decimals?,e889793af9
Why do optimized BLAS dot products and a manual for-loop end up with tiny differences in vector search results?,e889793af9
What’s the right way to compare the score arrays from the matrix version and the loop version without expecting exact equality?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in my vector search code?,1a7b27c4df
What usually causes list index out of range when selecting the top matching chunk from embeddings?,1a7b27c4df
How do I make sure my chunk list and embedding list stay aligned so I don't get this error?,1a7b27c4df
Should I create embeddings from the whole chunks array or from the chunk contents only?,1a7b27c4df
What check can I do to avoid an IndexError when the number of embeddings doesn't match the number of chunks?,1a7b27c4df
"In Module 2 homework Q2, my cosine similarity is way off the multiple-choice answers — could I be using the wrong embedding model?",eaa17a9dc6
"For the homework embeddings, do I need to use the ONNX `Embedder` from `embedder.py` instead of `sentence-transformers`?",eaa17a9dc6
Why would I get a cosine value that doesn't match any option if I used `multi-qa-mpnet-base-dot-v1` or `all-mpnet-base-v2`?,eaa17a9dc6
"Am I supposed to embed the page `content` field for Q2, or something else like the filename or full record?",eaa17a9dc6
"If my similarity is still a little different after using the right setup, should I just choose the closest answer?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys so Kestra can actually use them in the orchestration module?",3860e5fe8b
"Do I need both a normal Gemini key and a SECRET_GEMINI_API_KEY for Kestra, or is one enough?",3860e5fe8b
What’s the right way to export API secrets for Kestra before starting docker compose?,3860e5fe8b
"Inside a Kestra flow, should I reference SECRET_GEMINI_API_KEY directly or use the secret name without the SECRET_ prefix?",3860e5fe8b
"Why are my API keys not being picked up by Kestra after I added them, and do I need to restart the container?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating flows, and what setting am I missing?",04440cab11
"In Kestra OSS, do I need to use a regular Gemini key or the base64 secret env var for the Copilot?",04440cab11
"I already set `SECRET_GEMINI_API_KEY` for my flows, but the Copilot still refuses to answer — what should I export?",04440cab11
What is the quickest way to restart Kestra after adding the Gemini API key so the Copilot starts working?,04440cab11
"Could the Copilot refusal be caused by an invalid, missing, or rate-limited Gemini key, and how can I check that?",04440cab11
Why does my Kestra flow say the Gemini API key is missing or invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a bad base64 encode be the reason my secret auth keeps failing in Kestra?,c8ca21af33
"Do I need to restart Kestra after exporting the API key, or is just setting the env var enough?",c8ca21af33
"In my flow, should I use SECRET_GEMINI_API_KEY or secret('GEMINI_API_KEY') to read the key?",c8ca21af33
"What’s the safest way to pass Gemini keys to Kestra, with export commands or a .env file?",c8ca21af33
Why do we even need an orchestrator like Kestra if I can just execute the code in a notebook?,193612db63
What problems does Kestra solve in a real AI workflow that a single notebook script doesn't handle well?,193612db63
"In this module, is Kestra mainly for orchestration, or is it also used to demonstrate AI copilot, RAG, and agents?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in a Kestra flow without rewriting the rest of the workflow?",193612db63
What’s the point of using Kestra here instead of just doing everything in notebook cells during the course?,193612db63
"Do I actually need to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
"For the capstone project, can I skip Kestra and use Airflow, Prefect, Dagster, or even just Python?",cce328db64
"If I build the ingestion pipeline with a normal script instead of an orchestrator, do I still get full points?",cce328db64
Why does the course teach Kestra in Module 3 if other orchestrators can do the same job?,cce328db64
"Can I switch the AI provider in a Kestra flow, like from OpenAI to Gemini or Anthropic, without rewriting the flow?",cce328db64
"Does Kestra work only with Gemini, or can I plug in OpenAI, Anthropic, xAI, Groq, or even a local model like Ollama?",f442efe5b4
"If I switch from Gemini to another AI provider in a Kestra flow, do I need to rewrite the rest of the flow or just change the provider block?",f442efe5b4
"How do I connect Kestra to an OpenAI-compatible service such as Groq, DeepSeek, or a local LM Studio/Ollama model?",f442efe5b4
What's the difference between Kestra's generic AI plugin and the vendor-specific plugins like plugin-gemini or plugin-openai?,f442efe5b4
"Why does the course use Gemini by default, and where can I find other free or free-tier model options for the lab?",f442efe5b4
"Can I build a Kestra flow without writing YAML by hand, or do I still need to code it myself?",bfe5502c30
