question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Why do I have a random name on the leaderboard, and can I change it?",c2903069a0,good,"The agent’s answer matches the ground truth well. It explains that the random leaderboard name is the default display name assigned automatically, and that it can be changed in Edit Course Profile. It also correctly distinguishes the first field as the public nickname/display name and the second field as the official legal name for the certificate. This covers the key information in the original answer, though it omits the specific instruction about clicking the 'Jump to your record on the leaderboard' link and does not explicitly mention that the certificate name is mandatory if you don’t want the random name on the certificate.",good,"The search query was relevant to the question and included key ideas like random name and leaderboard name. Only one search was used, which is reasonable since the answer could be found directly. There were no unnecessary duplicate calls, and the tool call supported the final answer."
Where do I check what my displayed name is in the course profile?,c2903069a0,good,"The agent’s answer matches the key part of the ground truth: it says to use the “Edit Course Profile” button and that the first field is the displayed name/nickname. It omits extra context about the random assigned name and the official name/certificate field, but those are not necessary to answer the question asked.",good,"The search query is relevant and includes the core concepts from the question (“displayed name” and “course profile”). Only one search call was made, which is reasonable for this straightforward lookup. The tool call supports the final answer."
"If I want a different nickname on the leaderboard, which profile field should I edit?",c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says the first field in Edit Course Profile is the nickname/display name used on the leaderboard, and that the second field is for the official/certificate name. This contains the key information asked for.",good,"The single search query is relevant and includes the main concepts from the question (leaderboard, nickname, profile field, edit). One search call is reasonable for this simple question, and the tool use supports the final answer."
"What name will show on my certificate, and do I need to update it somewhere?",c2903069a0,good,"The agent answer matches the ground truth. It correctly states that the certificate uses the name in the second field of Edit Course Profile, that this should be the official name from ID/passport, and that the first field is only the display/leaderboard nickname. It also captures the need to update the second field to avoid the default/random name appearing on the certificate. Slightly less specific than the original about the random example name and the leaderboard link, but the key information is present.",good,"The tool call was relevant and included core keywords like 'certificate', 'name', and 'update'. Only one search was used, which is reasonable for this straightforward FAQ question. There were no unnecessary duplicate calls, and the search supports the final answer."
Can I do this course on my own schedule and still receive a certificate at the end?,69d122f12e,good,"The agent answer matches the ground truth closely. It correctly says certificates are only available for the live cohort, not self-paced mode, and mentions the peer-review requirement during the active course period. This preserves the key information from the original answer, though it omits the specific detail that you must peer-review 3 capstones and that the form closes after the course ends.",good,"The tool call was relevant to the question and used reasonable keywords about self-paced participation and certificates. Only one search was needed, and there were no unnecessary duplicate calls. The search supported the final answer adequately."
"If I take the self-paced version, is there any way to get the course certificate later?",69d122f12e,good,"The agent’s answer matches the ground truth: it says certificates are only available if you finish with a live cohort, not in self-paced mode, and explains that peer-reviewing capstone projects only happens while the course is running. This captures the key points from the original answer.",good,"The tool call was relevant and included the key terms from the question ('self-paced version', 'course certificate later'). Only one search was needed, so the trajectory was reasonable and not excessive."
Do certificates only count for people who finish with a live cohort?,69d122f12e,good,"The agent answer matches the ground truth. It correctly says certificates are only awarded for finishing with a live cohort, and that self-paced mode does not qualify because the required peer-review of 3 capstones can only happen while the course is running.",good,"The single search query was relevant and included key terms from the question (certificates, live cohort). One search was sufficient and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
Why is there no certificate for the self-paced track in this course?,69d122f12e,good,"The agent’s answer matches the ground truth closely. It correctly states that certificates are only awarded for completing the course with a live cohort, not in self-paced mode, and explains the peer-review requirement of 3 capstone projects and why that is unavailable once the course is no longer running. This contains the key information from the original answer, with no substantive errors or omissions.",good,"The single search query is relevant and uses important keywords from the question ('certificate', 'self-paced'). One search is reasonable for this straightforward FAQ-style question, and there were no unnecessary duplicate calls. The tool call supports the final answer."
Is peer-review of the capstone projects required in order to earn the certificate?,69d122f12e,bad,"The agent’s answer does not match the ground truth. The original says you do not get a certificate in self-paced mode, and certificates are only awarded for a live cohort because peer-reviewing 3 capstones is required. The agent incorrectly starts with a direct “Yes” to the question about whether peer-review is required in order to earn the certificate, which misses the key distinction that self-paced participants cannot earn a certificate at all. It does mention the 3 peer reviews and the timing window, but the main conclusion is wrong/misleading.",good,"The single search query was relevant and included the main keywords from the question (“peer-review,” “capstone projects,” “certificate”). One search was sufficient for this FAQ-style question, and there were no unnecessary duplicate calls. The tool use was reasonable."
Can I still get the certificate if I skipped the first homework?,9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that skipping the first homework does not block certificate eligibility, that homework is not mandatory, and that passing the Capstone project is required for the certificate. It also correctly notes that homework points affect leaderboard rank, which is consistent with the original answer.",good,"The single search query was relevant to the user’s question and included key terms like certificate, homework, and requirement/eligibility. One search was sufficient, and no unnecessary duplicate calls were made. The tool call reasonably supported the final answer."
"Is homework required for the course certificate, or is the Capstone enough?",9f689c185f,good,"The agent answer matches the ground truth on the main question: homework is not required, and passing the Capstone is sufficient for the certificate. It also correctly mentions homework being optional and affecting leaderboard rank. However, it adds an extra caveat about live cohort vs self-paced mode that is not present in the original answer, though it does not contradict the core answer.",good,"The search query was relevant and included the key concepts from the question: homework, certificate, and capstone. Only one search call was made, which is reasonable for a straightforward FAQ-style question. The tool call supported the final answer adequately."
Do I need to finish every homework assignment to earn a certificate?,9f689c185f,good,"The agent’s answer matches the ground truth on the key point: homework is not required for the certificate, and passing the Capstone project is required. It also correctly notes homework is recommended and affects leaderboard rank. The wording is slightly different, but the substance is the same.",good,"The search query was relevant to the question and included important keywords like certificate and homework. Only one search call was needed, and it was sufficient to support the answer. No unnecessary or duplicate calls were made."
What actually matters for getting the certificate in this course?,9f689c185f,good,"The agent answer matches the key point from the ground truth: passing the Capstone project is required, and homework is not mandatory. It also states that homework points only affect leaderboard rank, which is consistent with the original answer. However, the agent adds extra requirements not present in the ground truth (live cohort, peer-reviewing 3 capstone projects, submission timing), so while mostly aligned on the main answer, it includes unsupported details. Overall, the core answer is correct, but with some added information beyond the FAQ.",good,"The single search query is relevant to the question and includes the main keywords about certificate requirements. Only one call was made, which is reasonable for a straightforward FAQ-style question. The query could have been more specific, but it was still appropriate and not excessive."
"If homework is optional, what does it affect besides the certificate?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly says homework is optional/not mandatory, recommended for reinforcing concepts, and that the points from homework count toward leaderboard rank. That is the key extra effect besides the certificate-related requirement.",good,"The single search query was relevant and close to the user’s wording. One tool call was sufficient, and there were no unnecessary repeated searches. The tool use reasonably supported the final answer."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It explains that the homework is still in draft if the title contains [DRAFT], and that it is only ready when the form is open and the title no longer contains [DRAFT]. It also correctly notes that the content may change until then and that working ahead is at the student’s risk.",good,"The search query was relevant to the user’s question and contained core keywords about homework content changing before release. One search call is reasonable here, and the result was clearly used to produce the final answer. No unnecessary duplicate calls were made."
What does [DRAFT] mean in a homework title?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that [DRAFT] means the homework is not ready yet, and it includes both conditions for readiness: the form being open and the title no longer containing [DRAFT]. It also preserves the warning that the content may still change and early work is at your own risk. This is semantically equivalent to the original answer.",good,"The single search query was relevant and contained the key terms from the question: [DRAFT] and homework title meaning. One search call is reasonable for this question, and no unnecessary duplicate searches were made. The tool use supported the final answer."
How can I tell if a homework is actually ready to do?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states the two required conditions for a homework to be ready: the homework form must be open on the course management platform, and the title must not contain [DRAFT]. It also correctly notes that if [DRAFT] is present, the homework is not ready, and that working early is at the student’s own risk because the content may still change.",good,"The single search query was directly relevant to the user’s question and contained the full question text, so it was appropriate and sufficiently specific. Only one tool call was needed, and it supported the final answer well."
Is it safe to start a homework early if it still says [DRAFT]?,96286b4be4,good,"The agent answer matches the ground truth. It correctly says that if the homework title contains [DRAFT], it is not ready yet, that the homework is only ready when the form is open and the title no longer contains [DRAFT], and that starting early is at the student's own risk because the content may change. This preserves the key information from the original answer.",good,"The single search query was relevant and included the important keywords from the question: homework, early, draft, [DRAFT]. One tool call is reasonable here, and there were no unnecessary duplicate searches. The tool call supports the final answer."
When can I trust that the homework version won’t change anymore?,96286b4be4,good,The agent answer matches the ground truth. It correctly states the two conditions for the homework being ready: the form must be open and the title must not contain [DRAFT]. It also includes the warning that content can still change before then and that working in advance is at the student's own risk. This preserves the key information from the original answer.,good,"The tool call was reasonable and relevant enough, though not especially precise. The search query was loosely related to homework version stability and final release, but it did not include the exact key terms from the question such as [DRAFT] or course management platform. Still, only one search was used, which is reasonable, and it did not introduce unnecessary extra calls."
When is the next run of the course scheduled for?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the next run of the course is Summer 2027.,good,"The single search query was relevant to the question and concise. One search call is reasonable here, and it supported the final answer."
Do you know when the course will be offered again?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the course will be offered again in Summer 2027.,good,"The search query was relevant to the user's question about when the course will be offered again. Only one search was used, which is reasonable, and it supported the final answer."
What’s the next available session for this course?,bd31146b0e,good,The agent’s answer exactly matches the ground truth: the next available session is Summer 2027.,good,"The single search query is directly relevant to the question and uses the key phrase 'next available session for this course.' One search call is sufficient here, with no unnecessary duplication."
Can you tell me the next time this course is starting?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the next time the course is starting is Summer 2027.,good,"The single search query was relevant to the question and aimed at the course start date. One search call is reasonable, and there were no unnecessary duplicate calls. The tool use supported the final answer."
When should I expect the course to be available again?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in meaning: it states the course will be offered again in Summer 2027.,good,"The single search query was relevant to the question and used the key phrasing about when the course would be available again. One search was sufficient, and there were no unnecessary duplicate calls."
Where do I find the lecture videos for this course?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, and notes that each lesson page has the relevant videos linked at the top. It also correctly mentions that the GitHub repo is more up to date than the YouTube playlist. This preserves the key information from the original answer.",good,"The single search query was relevant to the user's question about finding lecture videos, though it was generic and did not include the course name or repo keywords. Since the final answer is accurate and only one search was used, the trajectory is reasonable, though it could have been more targeted."
Is there a main place I should open first to get to the lessons and videos?,31456f4b5f,good,"The agent answer matches the ground truth: it says the main entry point is the LLM Zoomcamp GitHub repository, instructs the user to open the lesson folders, notes that each lesson page has the relevant videos linked at the top, and explains that the GitHub repo should be followed first because it is more up to date than the YouTube playlist. The extra offer to point to docs is not conflicting.",good,"The single search query was relevant enough to the question, but it was broad and did not include the key specific keyword 'LLM Zoomcamp GitHub repository'. Still, only one tool call was made, which is reasonable, and it did not add unnecessary duplicate searches. The tool call does not appear to have harmed the final answer."
"Do the lesson pages include the videos somewhere, or do I need to search YouTube separately?",31456f4b5f,good,"The agent’s answer matches the ground truth: it says the lesson pages include the relevant videos at the top, you generally don’t need to search YouTube separately, and it recommends the GitHub repository as the main entry point because it stays updated better than the YouTube playlist. These are the key points from the original answer.",good,"The single search query was relevant to the question and used keywords about lesson pages, videos, and YouTube. One search call is reasonable here, and there were no unnecessary duplicate calls. The tool use supports the final answer."
What’s the best way to keep up with the latest class materials and recordings?,31456f4b5f,bad,"The agent’s answer partially overlaps with the ground truth by mentioning the LLM Zoomcamp GitHub repository, but it misses the key point that the GitHub repo should be the main entry point and preferred over the YouTube playlist because it is easier to keep updated. Instead, it adds unrelated workflow and logistics details that are not in the original answer. So the answer is not a good match.",bad,"The search query was only loosely related to the question and did not include important keywords like LLM Zoomcamp, GitHub repo, YouTube playlist, or lesson folders. One search is reasonable, but it was not well targeted, and the tool call did not clearly support the final answer."
Should I use the GitHub repo or the YouTube playlist when I’m looking for the course lectures?,31456f4b5f,good,"The agent answer matches the ground truth well. It correctly says to use the GitHub repo as the main source, mentions that lesson folders/pages contain the relevant videos, and includes the key guidance that the repo should be followed first because it is easier to keep updated than the YouTube playlist. This preserves the essential meaning of the original answer.",good,"The single search query was relevant and contained the main concepts from the question (GitHub repo, YouTube playlist, course lectures, FAQ). One search is reasonable for this straightforward question, and there were no unnecessary duplicate calls."
