question,answer_llm,answer_orig,document
"How do I join the Office Hours or live workshop stream if I’m a student, and where is the video link usually posted?","If you’re a student, you join the Office Hours or live workshop via **YouTube Live** and ask questions in **Slido** (the link is pinned in the chat when the session is live).

The **video link** is usually posted in the **announcements channel on Telegram and Slack** before the session starts. You can also watch on the **DataTalksClub YouTube Channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom link for live sessions available to everyone, or only to instructors and TAs?",Only to instructors/presenters/TAs. Students watch via YouTube Live and can ask questions through Slido.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"If I can’t use Zoom for the workshop, what’s the usual way students watch and ask questions during the session?","Students usually watch the session on **YouTube Live** and ask questions via **Slido**. The Slido link is pinned in the chat when the session is live, and the video URL is usually posted in the **announcements channel on Telegram and Slack** before it starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I look for the live session URL before the Office Hours start?,"Look in the **announcements channel on Telegram and Slack** before it begins. The live session URL should be posted there, and you can also watch on the DataTalksClub **YouTube Channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I ask questions in the chat during a live session, or is there a better place to send them?",Yes—please don’t post questions in the live chat. Use **Slido** instead; the Slido link is pinned in the chat when the session is live.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where should I begin if I’m just joining the LLM Zoomcamp, and what pages or repo should I check first?","If you’re just joining, begin with:

1. The [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. The [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. The main [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

For the weekly workflow, use the GitHub repo first since it’s the main entry point and usually stays more up to date than the YouTube playlist. Open the lesson folders there; each lesson page has the relevant videos linked at the top.

If you’re specifically starting Module 1 in the 2026 cohort, check:
- [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
- [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

If you want, I can also give you a “first 30 minutes” checklist for getting started.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly flow for this course — do I watch videos first, then do notebooks, then homework?","Yes — the usual workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers on the course platform before the deadline  

So yes: videos first, then notebooks, then homework.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I start LLM Zoomcamp anytime, or do I need to wait for a specific date?","You can start whenever you want. The course materials and videos are available, and you don’t need to wait for a specific date to begin learning or submitting homework while the submission form is open.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I find the deadlines and submit homework answers for the course?,"You can find the deadlines in the **LLM Zoomcamp course management platform**:

- https://courses.datatalks.club/llm-zoomcamp-2026/

That same platform is where you **submit your homework answers**. The GitHub repo has the homework instructions and extra context, but the **submission form and deadlines are on the course platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?","The homework follows the lesson workflow, but usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How can I find my own entry on the leaderboard if I can’t spot my name right away?,"Click the **“Jump to your record on the leaderboard”** link. Your account is automatically assigned a random display name, so that link will take you straight to your entry.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why do I have a random name on the leaderboard, and can I change it?","When you set up your account, you’re automatically assigned a random public display name on the leaderboard, like “Lucid Elbakyan.”

Yes, you can change it:
- Click **Edit Course Profile**
- Change the **first field** to whatever nickname you want shown publicly on the leaderboard

If you want, you can also set your **official name** in the **second field** for your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where do I check what my displayed name is in the course profile?,Click **“Edit Course Profile”**. Your **first field** is your public nickname/displayed name for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"If I want a different nickname on the leaderboard, which profile field should I edit?",Edit the **first field** in **Edit Course Profile** — that’s your **nickname/display name** used on the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"What name will show on my certificate, and do I need to update it somewhere?","The name on your certificate will be the **second field in “Edit Course Profile”** — your official name as in your ID documents. If you leave it unchanged, it may show the default name like **“Lucid Elbakyan.”**

Yes, you need to **update it in “Edit Course Profile”** if you want a different name on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do this course on my own schedule and still receive a certificate at the end?,No. You can only get a certificate if you finish the course with a live cohort; self-paced mode does not include certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I take the self-paced version, is there any way to get the course certificate later?","No. You can only get a certificate by finishing the course with a live cohort; self-paced mode does not award certificates, and there isn’t a later way to get one after that.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do certificates only count for people who finish with a live cohort?,Yes. Certificates are only awarded if you finish the course with a live cohort. Self-paced mode does not qualify.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why is there no certificate for the self-paced track in this course?,"There is no certificate for the self-paced track because the course requires **peer-reviewing 3 capstones** after submitting your project, and that peer-review process is only available while a **live cohort** is running. Once the course form is closed and the peer-review list is compiled, self-paced participants can’t complete that requirement, so certificates aren’t awarded in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is peer-review of the capstone projects required in order to earn the certificate?,"Yes. Peer-reviewing 3 capstone projects is required to earn the certificate. If you don’t complete the peer-review step, you may fail to get the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the certificate if I skipped the first homework?,"Yes. Skipping the first homework does **not** prevent you from getting the certificate. You only need to **pass the Capstone project**. Homework is optional, though it helps with learning and leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework required for the course certificate, or is the Capstone enough?",Homework is **not required** for the course certificate. You only need to **pass the Capstone project** to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I need to finish every homework assignment to earn a certificate?,I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What actually matters for getting the certificate in this course?,"What actually matters for the certificate is **passing the Capstone project** and finishing the course with a **live cohort**.

A few key points:
- **Homework is not mandatory** for the certificate, though it helps and affects your leaderboard rank.
- You **cannot get a certificate in self-paced mode**.
- To get the certificate, you must also be able to **peer-review 3 capstones**, which is only possible while the course is running.

So the main requirement is: **complete the Capstone during a live cohort**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework is optional, what does it affect besides the certificate?",It affects your **leaderboard rank** — the points from homework count toward it.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet. Until the homework is fully ready, the content can still change.

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

So if you see changes before release, it’s because it’s still in draft status.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does [DRAFT] mean in a homework title?,"If a homework title contains `[DRAFT]`, it means the homework is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to do?,"A homework is actually ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does **not** contain `[DRAFT]`.

If either of these is not true, it’s still not ready, and the content may keep changing.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start a homework early if it still says [DRAFT]?,"No. If the homework title still contains `[DRAFT]`, it is not ready yet, and the content can still change. Working on it early is at your own risk because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When can I trust that the homework version won’t change anymore?,"You can trust the homework version won’t change anymore only when **both** are true:

- the homework form is **open** on the course management platform, and
- the homework title **does not contain** `[DRAFT]`.

Until then, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of the course scheduled for?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What’s the next available session for this course?,Summer 2027.,Summer 2027.,bd31146b0e
Can you tell me the next time this course is starting?,The next time the course is offered is **Summer 2027**.,Summer 2027.,bd31146b0e
When should I expect the course to be available again?,The course will be offered next in **Summer 2027**.,Summer 2027.,bd31146b0e
Where do I find the lecture videos for this course?,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo—each lesson page has the relevant lecture videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should open first to get to the lessons and videos?,"Yes — the main place to open first is the **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there. Each lesson page has the relevant **videos linked at the top**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages include the videos somewhere, or do I need to search YouTube separately?","The lesson pages include the relevant videos at the top of each lesson folder in the GitHub repo, so you do **not** need to search YouTube separately. The repo is the main entry point and is kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best way to keep up with the latest class materials and recordings?,I don't know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist when I’m looking for the course lectures?,"Use the GitHub repo as the main entry point for lectures. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.

If you’re unsure, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I go to see the LLM Zoomcamp syllabus and keep up with deadlines and homework?,"Go to the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the syllabus, deadlines, homework, and track your progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a central place for tracking my progress in the LLM Zoomcamp course?,"Yes — the central place to track your syllabus, deadlines, homework, and progress is the **LLM Zoomcamp course management platform**:

https://courses.datatalks.club/llm-zoomcamp-2026/

","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to follow the current cohort structure and homework for LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It has the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I find the official LLM Zoomcamp course page with deadlines and progress tracking?,"Use the official **LLM Zoomcamp course management platform** here:

[https://courses.datatalks.club/llm-zoomcamp-2026/](https://courses.datatalks.club/llm-zoomcamp-2026/)

It includes the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does LLM Zoomcamp use a course management platform for syllabus, assignments, and deadlines?","Yes. LLM Zoomcamp uses a course management platform for the syllabus, homework, deadlines, and progress tracking: https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do you have live sessions or office hours for every module in the course, or is everything just pre-recorded?","There are **no separate live sessions for every module by default**. The module materials are **pre-recorded** and available in the course repo.

**Live sessions/office hours are announced separately when they happen.** If you get stuck, you can ask in **Slack** and follow the questions guidelines.

There is also **optional extra support** via **AI Shipping Labs**, which is a **paid** community with regular Zoom office hours and extra structure.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Where do I go if I get stuck on a lesson and need help with a question?,"If you get stuck, ask your question in the course’s support/community channels. The context doesn’t specify a single exact place.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"How are live sessions announced for this course, since I don't see them listed for each module?","Live sessions are announced separately when they happen, not for every module by default.

You can find the announcement in the course’s **Telegram and Slack announcement channels** before the session starts. The **video URL** is also posted there, and you can watch live on the **DataTalksClub YouTube channel**. Students join via **YouTube Live** and submit questions through **Slido** during the session.

If you’re stuck between sessions, ask in **Slack** and follow the asking-questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Is there any extra support with regular Zoom office hours, or is that only part of a paid option?","The regular Zoom office hours are part of the optional paid support option, AI Shipping Labs. The main course content is free, but extra support with regular Zoom office hours is not included by default.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
